transaction_id,date,store_id,region,product_id,category,quantity_sold,unit_price,payment_method,customer_id,discount_percent,return_flag,total_amount
TXN_1000,2023-01-01 00:00:00,STR_32,East,PRD_253,Grocery,6,1686.23,Net Banking,CUST_1256,28,Yes,7284.51
TXN_1001,2023-01-01 01:00:00,STR_9,West,PRD_52,Grocery,3,1014.68,Cash,CUST_1220,27,No,2222.15
TXN_1002,2023-01-01 02:00:00,STR_30,North,PRD_444,Furniture,9,925.5,Debit Card,CUST_1778,14,Yes,7163.37
TXN_1003,2023-01-01 03:00:00,STR_13,East,PRD_198,Grocery,8,481.16,Credit Card,CUST_1578,25,Yes,2886.96
TXN_1004,2023-01-01 04:00:00,STR_2,East,PRD_13,Toys,9,897.41,UPI,CUST_278,12,No,7107.49
TXN_1005,2023-01-01 05:00:00,STR_1,West,PRD_120,Grocery,5,1901.1,Cash,CUST_1119,18,No,7794.51
TXN_1006,2023-01-01 06:00:00,STR_36,North,PRD_199,Toys,3,425.52,UPI,CUST_1872,2,Yes,1251.03
TXN_1007,2023-01-01 07:00:00,STR_27,North,PRD_172,Grocery,4,362.19,,CUST_280,1,Yes,1434.27
TXN_1008,2023-01-01 08:00:00,STR_22,East,PRD_129,Toys,5,487.58,Debit Card,CUST_1151,12,Yes,2145.35
TXN_1009,2023-01-01 09:00:00,STR_39,South,PRD_212,Grocery,9,1105.91,Cash,CUST_499,6,Yes,9356.0
TXN_1010,2023-01-01 10:00:00,STR_12,East,PRD_285,Grocery,9,1860.95,UPI,CUST_1227,8,Yes,15408.67
TXN_1011,2023-01-01 11:00:00,STR_20,East,PRD_445,Clothing,3,1149.89,Cash,CUST_234,21,Yes,2725.24
TXN_1012,2023-01-01 12:00:00,STR_26,East,PRD_320,Toys,7,490.75,Cash,CUST_1461,9,No,3126.08
TXN_1013,2023-01-01 13:00:00,STR_24,East,PRD_51,Toys,6,883.7,UPI,CUST_791,0,No,5302.2
TXN_1014,2023-01-01 14:00:00,STR_23,West,PRD_434,Toys,4,783.85,Debit Card,CUST_1411,21,No,2476.97
TXN_1015,2023-01-01 15:00:00,STR_1,North,PRD_231,Electronics,5,97.91,Cash,CUST_1483,15,No,416.12
TXN_1016,2023-01-01 16:00:00,STR_47,West,PRD_445,Grocery,2,1023.73,Debit Card,CUST_757,10,Yes,1842.71
TXN_1017,2023-01-01 17:00:00,STR_9,West,PRD_439,Toys,7,256.38,Debit Card,CUST_285,23,No,1381.89
TXN_1018,2023-01-01 18:00:00,STR_46,West,PRD_212,Electronics,4,1685.28,Credit Card,CUST_1384,7,No,6269.24
TXN_1019,2023-01-01 19:00:00,STR_47,East,PRD_27,Clothing,2,1100.18,UPI,CUST_1356,29,No,1562.26
